station_origin,station_destination,flows,prodsimest1,prodsimest4,prodsimest5,prodsimest6
Rickmansworth,Oxford Circus,25,37,38,38,39
Rickmansworth,Stratford,7,44,45,41,36
Rickmansworth,Warren Street,0,17,17,17,17
Rickmansworth,Waterloo,17,22,22,22,21
Rickmansworth,Westminster,21,16,16,16,15
Roding Valley,Bank and Monument,34,29,30,29,28
Roding Valley,Bond Street,9,10,10,9,7
Roding Valley,Canary Wharf,18,23,13,24,25
Roding Valley,Euston,1,8,8,7,7
Roding Valley,Green Park,1,12,12,11,9
Roding Valley,Liverpool Street,48,24,24,24,24
Roding Valley,Oxford Circus,18,18,18,16,14
Roding Valley,Stratford,59,23,23,29,38
Roding Valley,Warren Street,1,8,8,8,7
Roding Valley,Waterloo,4,11,11,10,9
Roding Valley,Westminster,2,7,8,7,6
Romford,Liverpool Street,1714,1924,1924,1650,1292
Romford,Stratford,2031,1848,1848,1871,1787
Royal Albert,Bank and Monument,58,147,160,119,87
Royal Albert,Canary Wharf,17,122,75,125,122
Royal Albert,Stratford,0,116,126,115,108
Royal Oak,Bank and Monument,8,63,64,59,49
Royal Oak,Bond Street,3,22,23,28,32
Royal Oak,Canary Wharf,36,48,27,36,24
Royal Oak,Green Park,9,27,27,30,32
Royal Oak,Liverpool Street,122,51,52,48,40
Royal Oak,Oxford Circus,10,41,42,51,59
Royal Oak,Stratford,4,45,46,34,21
Royal Oak,Warren Street,0,19,19,21,22
Royal Oak,Waterloo,5,24,24,24,22
Royal Oak,Westminster,8,17,17,17,16
Royal Victoria,Bank and Monument,267,455,495,338,213
Royal Victoria,Canary Wharf,87,382,235,394,367
Royal Victoria,Stratford,0,363,395,356,311
Ruislip,Bank and Monument,5,65,67,62,55
Ruislip,Bond Street,14,22,23,23,22
Ruislip,Canary Wharf,29,51,29,45,36
Ruislip,Green Park,13,27,28,27,26
Ruislip,Liverpool Street,33,53,54,50,45
Ruislip,Oxford Circus,14,41,42,42,41
Ruislip,Stratford,2,49,50,43,36
Ruislip,Warren Street,0,19,19,19,18
Ruislip,Waterloo,10,24,25,24,22
Ruislip,Westminster,20,17,18,17,16
Ruislip Gardens,Bank and Monument,55,54,55,52,49
Ruislip Gardens,Bond Street,26,18,19,19,20
Ruislip Gardens,Canary Wharf,17,42,24,37,32
Ruislip Gardens,Euston,4,15,16,15,15
Ruislip Gardens,Green Park,4,22,23,23,23
Ruislip Gardens,Liverpool Street,57,44,44,42,38
Ruislip Gardens,Oxford Circus,35,34,35,36,36
Ruislip Gardens,Stratford,8,40,41,35,28
Ruislip Gardens,Warren Street,4,16,16,16,16
Ruislip Gardens,Waterloo,7,20,20,20,19
Ruislip Gardens,Westminster,11,14,15,14,14
Ruislip Manor,Bank and Monument,4,68,69,65,58
Ruislip Manor,Bond Street,13,23,24,24,23
Ruislip Manor,Canary Wharf,36,53,30,46,38
Ruislip Manor,Green Park,13,28,29,28,27
Ruislip Manor,Liverpool Street,33,56,56,53,47
Ruislip Manor,Oxford Circus,16,43,44,44,43
Ruislip Manor,Stratford,6,51,52,45,37
Ruislip Manor,Warren Street,0,20,20,20,19
Ruislip Manor,Waterloo,16,25,26,25,23
Ruislip Manor,Westminster,17,18,18,18,16
Russell Square,Bank and Monument,51,64,65,72,72
Russell Square,Bond Street,13,22,22,25,27
Russell Square,Canary Wharf,16,46,27,35,21
Russell Square,Euston,2,19,19,27,37
Russell Square,Green Park,73,27,27,31,33
Russell Square,Liverpool Street,32,51,52,52,46
Russell Square,Oxford Circus,16,41,41,52,61
Russell Square,Stratford,15,44,44,30,16
Russell Square,Warren Street,0,19,19,25,29
Russell Square,Waterloo,31,24,24,26,26
Russell Square,Westminster,62,17,17,19,19
Seven Kings,Liverpool Street,1088,1421,1421,1156,817
Seven Kings,Stratford,1887,1392,1392,1474,1429
Seven Sisters,Bank and Monument,87,766,776,797,796
Seven Sisters,Bond Street,103,258,261,265,261
Seven Sisters,Canary Wharf,173,584,334,515,422
Seven Sisters,Euston,386,219,222,249,276
Seven Sisters,Green Park,439,314,318,317,306
Seven Sisters,Liverpool Street,285,627,636,677,705
Seven Sisters,Oxford Circus,1066,479,486,505,510
Seven Sisters,Stratford,0,573,580,562,523
Seven Sisters,Warren Street,649,223,226,247,265
Seven Sisters,Waterloo,234,280,284,278,261
Seven Sisters,Westminster,89,199,202,197,185
Shadwell,Bank and Monument,1226,897,,,
Shadwell,Canary Wharf,596,690,,,
Shadwell,Stratford,15,627,,,
Shenfield,Liverpool Street,0,109,109,98,83
Shenfield,Stratford,29,103,103,103,96
Shepherd's Bush,Bank and Monument,783,395,,,
Shepherd's Bush,Bond Street,494,141,,,
Shepherd's Bush,Canary Wharf,184,300,,,
Shepherd's Bush,Euston,40,114,,,
Shepherd's Bush,Green Park,66,169,,,
Shepherd's Bush,Liverpool Street,802,319,,,
Shepherd's Bush,Oxford Circus,603,258,,,
Shepherd's Bush,Stratford,168,285,,,
Shepherd's Bush,Warren Street,33,117,,,
Shepherd's Bush,Waterloo,80,148,,,
Shepherd's Bush,Westminster,89,106,,,
Shepherd's Bush Market,Bank and Monument,3,82,84,74,59
Shepherd's Bush Market,Bond Street,1,29,29,31,30
Shepherd's Bush Market,Canary Wharf,11,63,36,49,32
Shepherd's Bush Market,Green Park,8,35,36,37,36
Shepherd's Bush Market,Liverpool Street,49,67,68,60,48
Shepherd's Bush Market,Oxford Circus,1,53,54,57,56
Shepherd's Bush Market,Stratford,1,60,61,45,29
Shepherd's Bush Market,Warren Street,0,24,25,25,22
Shepherd's Bush Market,Waterloo,6,31,31,30,26
Shepherd's Bush Market,Westminster,6,22,22,22,20
Shoreditch High Street,Stratford,0,179,179,170,135
Silver Street,Liverpool Street,369,410,410,391,329
Silver Street,Stratford,5,376,376,334,259
Sloane Square,Bank and Monument,345,202,205,200,177
Sloane Square,Bond Street,23,71,72,87,100
Sloane Square,Canary Wharf,356,152,87,116,76
Sloane Square,Euston,41,58,58,60,58
Sloane Square,Green Park,42,90,91,130,181
Sloane Square,Liverpool Street,128,163,165,152,126
Sloane Square,Oxford Circus,101,132,134,165,193
Sloane Square,Stratford,26,143,145,100,59
Sloane Square,Warren Street,60,60,60,66,66
Sloane Square,Waterloo,32,78,79,98,115
Sloane Square,Westminster,55,57,58,80,110
Snaresbrook,Bank and Monument,112,83,84,87,88
Snaresbrook,Bond Street,33,27,28,25,22
Snaresbrook,Canary Wharf,59,66,38,75,83
Snaresbrook,Euston,8,23,23,22,20
Snaresbrook,Green Park,14,33,34,31,27
Snaresbrook,Liverpool Street,159,68,69,73,77
Snaresbrook,Oxford Circus,55,51,52,47,42
Snaresbrook,Stratford,328,67,69,102,159
Snaresbrook,Warren Street,4,23,24,22,20
Snaresbrook,Waterloo,37,30,31,30,27
Snaresbrook,Westminster,18,21,22,20,18
South Acton,Euston,9,47,47,46,35
South Acton,Stratford,11,122,122,91,52
South Ealing,Bank and Monument,38,94,96,89,78
South Ealing,Bond Street,13,32,33,33,32
South Ealing,Canary Wharf,41,73,42,62,48
South Ealing,Euston,14,27,27,26,24
South Ealing,Green Park,56,40,40,42,43
South Ealing,Liverpool Street,34,76,78,71,60
South Ealing,Oxford Circus,23,60,61,62,60
South Ealing,Stratford,5,69,70,56,41
South Ealing,Warren Street,18,27,28,27,26
South Ealing,Waterloo,14,35,36,36,34
South Ealing,Westminster,15,25,26,26,25
South Hampstead,Euston,139,52,52,67,82
South Harrow,Bank and Monument,7,70,71,65,58
South Harrow,Bond Street,2,24,24,24,23
South Harrow,Canary Wharf,9,54,31,47,38
South Harrow,Euston,1,20,20,19,18
South Harrow,Green Park,15,29,30,30,29
South Harrow,Liverpool Street,3,57,57,53,47
South Harrow,Oxford Circus,5,44,45,44,43
South Harrow,Stratford,0,52,53,45,37
South Harrow,Warren Street,0,20,21,20,19
South Harrow,Waterloo,3,26,26,25,24
South Harrow,Westminster,4,19,19,18,18
South Kensington,Bank and Monument,229,204,207,193,163
South Kensington,Bond Street,37,72,73,89,102
South Kensington,Canary Wharf,267,154,88,117,76
South Kensington,Euston,34,59,59,62,60
South Kensington,Green Park,227,91,92,130,179
South Kensington,Liverpool Street,123,164,167,148,119
South Kensington,Oxford Circus,80,135,136,167,196
South Kensington,Stratford,32,145,147,102,60
South Kensington,Warren Street,38,61,61,67,69
South Kensington,Waterloo,33,78,79,89,94
South Kensington,Westminster,80,57,57,70,82
South Kenton,Bank and Monument,10,56,57,52,46
South Kenton,Bond Street,3,19,20,20,20
South Kenton,Canary Wharf,9,43,25,36,29
South Kenton,Euston,35,16,16,17,17
South Kenton,Green Park,2,23,24,23,23
South Kenton,Liverpool Street,6,45,46,43,38
South Kenton,Oxford Circus,22,35,36,36,36
South Kenton,Stratford,5,41,42,35,27
South Kenton,Warren Street,0,16,17,17,17
South Kenton,Waterloo,12,21,21,20,18
South Kenton,Westminster,1,15,15,14,13
South Quay,Bank and Monument,898,375,412,272,155
South Quay,Canary Wharf,58,344,214,541,776
South Quay,Stratford,43,284,311,204,115
South Ruislip,Bank and Monument,87,67,68,65,62
South Ruislip,Bond Street,41,23,23,24,26
South Ruislip,Canary Wharf,23,52,30,47,40
South Ruislip,Euston,7,19,19,19,19
South Ruislip,Green Park,7,28,28,29,30
South Ruislip,Liverpool Street,70,54,55,52,49
South Ruislip,Oxford Circus,49,43,43,45,46
South Ruislip,Stratford,16,50,50,43,36
South Ruislip,Warren Street,7,20,20,20,20
South Ruislip,Waterloo,9,25,25,25,24
South Ruislip,Westminster,15,18,18,18,18
South Tottenham,Stratford,0,127,127,112,86
South Wimbledon,Bank and Monument,489,173,175,182,185
South Wimbledon,Bond Street,20,58,59,59,59
South Wimbledon,Canary Wharf,123,133,76,123,108
South Wimbledon,Euston,41,48,49,47,44
South Wimbledon,Green Park,85,71,72,76,78
South Wimbledon,Liverpool Street,34,140,142,143,142
South Wimbledon,Oxford Circus,126,107,109,111,110
South Wimbledon,Stratford,30,126,128,110,90
South Wimbledon,Warren Street,74,49,50,49,47
South Wimbledon,Waterloo,65,64,65,71,76
South Wimbledon,Westminster,9,45,46,49,50
South Woodford,Bank and Monument,304,179,181,189,195
South Woodford,Bond Street,67,59,60,55,49
South Woodford,Canary Wharf,170,142,82,161,179
South Woodford,Euston,12,49,50,48,44
South Woodford,Green Park,27,72,73,68,61
South Woodford,Liverpool Street,369,146,148,159,168
South Woodford,Oxford Circus,108,109,111,104,94
South Woodford,Stratford,779,144,146,208,311
South Woodford,Warren Street,13,50,51,48,44
South Woodford,Waterloo,85,65,66,64,61
South Woodford,Westminster,34,46,47,45,41
Southbury,Liverpool Street,141,159,159,152,137
Southbury,Stratford,2,147,147,133,112
Southfields,Bank and Monument,134,220,223,210,191
Southfields,Bond Street,36,76,77,80,83
Southfields,Canary Wharf,79,169,97,143,113
Southfields,Euston,27,62,63,63,61
Southfields,Green Park,89,93,95,104,113
Southfields,Liverpool Street,44,178,180,166,147
Southfields,Oxford Circus,93,140,142,150,155
Southfields,Stratford,20,161,163,129,95
Southfields,Warren Street,34,64,65,66,65
Southfields,Waterloo,3,83,84,86,86
Southfields,Westminster,53,59,60,63,65
Southgate,Bank and Monument,109,154,156,157,157
Southgate,Bond Street,29,52,53,54,55
Southgate,Canary Wharf,53,119,68,110,97
Southgate,Euston,45,44,45,48,53
Southgate,Green Park,80,64,65,65,66
Southgate,Liverpool Street,61,126,127,129,130
Southgate,Oxford Circus,121,97,98,102,106
Southgate,Stratford,27,116,117,114,109
Southgate,Warren Street,88,45,46,49,53
Southgate,Waterloo,38,57,58,58,57
Southgate,Westminster,22,40,41,41,40
Southwark,Bank and Monument,25,215,218,299,387
Southwark,Bond Street,437,69,69,72,67
Southwark,Canary Wharf,1429,153,88,127,89
Southwark,Euston,27,56,57,56,48
Southwark,Green Park,328,86,87,101,108
Southwark,Liverpool Street,5,170,172,204,221
Southwark,Oxford Circus,28,129,130,145,146
Southwark,Stratford,159,143,145,103,61
Southwark,Warren Street,24,58,59,61,56
Southwark,Waterloo,68,87,88,192,434
Southwark,Westminster,119,58,58,90,134
St James Street,Liverpool Street,704,284,284,271,220
St James Street,Stratford,0,259,259,225,163
St. James's Park,Bank and Monument,150,75,76,81,75
St. James's Park,Bond Street,11,26,26,31,32
St. James's Park,Canary Wharf,98,56,32,42,26
St. James's Park,Euston,15,21,21,21,19
St. James's Park,Green Park,5,33,33,47,61
St. James's Park,Liverpool Street,62,60,61,59,50
St. James's Park,Oxford Circus,11,48,49,58,62
St. James's Park,Stratford,16,52,53,36,19
St. James's Park,Warren Street,6,22,22,23,22
St. James's Park,Waterloo,12,30,31,50,77
St. James's Park,Westminster,7,23,24,56,138
St. John's Wood,Bank and Monument,127,134,136,129,116
St. John's Wood,Bond Street,156,48,49,63,81
St. John's Wood,Canary Wharf,386,101,58,79,55
St. John's Wood,Euston,2,39,39,44,48
St. John's Wood,Green Park,135,58,58,68,78
St. John's Wood,Liverpool Street,135,109,111,105,94
St. John's Wood,Oxford Circus,36,89,90,116,150
St. John's Wood,Stratford,27,97,98,73,48
St. John's Wood,Warren Street,2,40,41,47,53
St. John's Wood,Waterloo,104,50,51,53,53
St. John's Wood,Westminster,101,36,36,38,39
St. Paul's,Bank and Monument,40,42,43,82,155
St. Paul's,Bond Street,75,12,13,13,11
St. Paul's,Canary Wharf,1,28,16,24,17
St. Paul's,Euston,4,10,11,10,9
St. Paul's,Green Park,15,15,15,16,14
St. Paul's,Liverpool Street,56,32,33,47,63
St. Paul's,Oxford Circus,78,23,24,26,25
St. Paul's,Stratford,83,26,27,20,12
St. Paul's,Warren Street,4,11,11,11,10
St. Paul's,Waterloo,5,14,14,15,14
St. Paul's,Westminster,1,10,10,10,8
Stamford Brook,Bank and Monument,52,80,81,73,59
Stamford Brook,Bond Street,7,28,28,29,27
Stamford Brook,Canary Wharf,45,62,35,49,34
Stamford Brook,Euston,7,23,23,22,19
Stamford Brook,Green Park,45,34,35,37,37
Stamford Brook,Liverpool Street,7,65,66,58,45
Stamford Brook,Oxford Circus,23,51,52,53,50
Stamford Brook,Stratford,2,58,59,44,28
Stamford Brook,Warren Street,8,23,24,23,21
Stamford Brook,Waterloo,11,30,31,30,27
Stamford Brook,Westminster,33,22,22,22,21
Stamford Hill,Liverpool Street,230,186,186,163,116
Stamford Hill,Stratford,0,169,169,134,84
Stanmore,Bank and Monument,33,116,118,114,109
Stanmore,Bond Street,116,40,41,42,44
Stanmore,Canary Wharf,208,90,52,81,70
Stanmore,Euston,0,33,34,34,34
Stanmore,Green Park,77,49,49,50,52
Stanmore,Liverpool Street,73,95,96,93,88
Stanmore,Oxford Circus,38,74,75,78,82
Stanmore,Stratford,32,87,88,79,69
Stanmore,Warren Street,1,34,34,35,36
Stanmore,Waterloo,61,43,44,44,43
Stanmore,Westminster,96,31,31,31,31
Star Lane,Bank and Monument,0,100,110,70,40
Star Lane,Canary Wharf,2,84,52,82,69
Star Lane,Stratford,164,84,91,95,98
Stepney Green,Bank and Monument,103,119,121,152,185
Stepney Green,Bond Street,20,38,38,34,28
Stepney Green,Canary Wharf,10,91,52,101,104
Stepney Green,Euston,9,32,32,30,26
Stepney Green,Green Park,17,46,47,42,35
Stepney Green,Liverpool Street,54,99,100,138,187
Stepney Green,Oxford Circus,32,70,71,65,55
Stepney Green,Stratford,133,90,91,113,136
Stepney Green,Warren Street,2,32,33,30,25
Stepney Green,Waterloo,21,42,43,43,41
Stepney Green,Westminster,53,30,30,29,25
Stockwell,Bank and Monument,870,456,462,521,566
Stockwell,Bond Street,60,152,154,163,165
Stockwell,Canary Wharf,229,340,195,297,233
Stockwell,Euston,204,124,126,121,109
Stockwell,Green Park,467,189,192,221,249
Stockwell,Liverpool Street,67,366,372,393,397
Stockwell,Oxford Circus,724,282,286,306,313
Stockwell,Stratford,65,321,325,253,176
Stockwell,Warren Street,294,128,130,129,121
Stockwell,Waterloo,178,173,175,222,278
Stockwell,Westminster,20,121,122,143,163
Stoke Newington,Liverpool Street,512,292,292,292,271
Stoke Newington,Stratford,1,265,265,235,189
Stonebridge Park,Bank and Monument,20,64,65,60,53
Stonebridge Park,Bond Street,9,22,22,24,25
Stonebridge Park,Canary Wharf,11,49,28,41,31
Stonebridge Park,Euston,82,18,19,20,21
Stonebridge Park,Green Park,8,27,27,28,27
Stonebridge Park,Liverpool Street,13,52,53,49,44
Stonebridge Park,Oxford Circus,27,41,41,43,44
Stonebridge Park,Stratford,9,47,48,39,29
Stonebridge Park,Warren Street,2,19,19,20,21
Stonebridge Park,Waterloo,26,24,24,23,21
Stonebridge Park,Westminster,5,17,17,17,16
Stratford,Bank and Monument,1138,2233,2263,2486,2601
Stratford,Bond Street,835,723,733,657,539
Stratford,Canary Wharf,3875,1805,1034,2296,2817
Stratford,Euston,70,609,617,582,508
Stratford,Green Park,502,886,898,812,673
Stratford,Liverpool Street,6946,1834,1859,2145,2381
Stratford,Oxford Circus,1047,1346,1364,1246,1045
Stratford,Warren Street,56,622,630,582,496
Stratford,Waterloo,1448,807,817,795,720
Stratford,Westminster,679,569,576,542,471
Stratford High Street,Stratford,96,154,154,233,302
Stratford International,Canary Wharf,57,526,330,414,268
Stratford International,Stratford,1461,578,642,902,1327
Sudbury Hill,Bank and Monument,5,61,62,58,53
Sudbury Hill,Bond Street,5,21,21,21,21
Sudbury Hill,Canary Wharf,11,48,27,42,34
Sudbury Hill,Euston,1,17,18,17,16
Sudbury Hill,Green Park,12,26,26,26,27
Sudbury Hill,Liverpool Street,8,50,51,46,41
Sudbury Hill,Oxford Circus,7,39,39,39,38
Sudbury Hill,Stratford,2,45,46,38,30
Sudbury Hill,Warren Street,2,18,18,18,17
Sudbury Hill,Waterloo,4,23,23,23,22
Sudbury Hill,Westminster,9,16,17,16,16
Sudbury Town,Bank and Monument,11,72,73,68,62
Sudbury Town,Bond Street,2,25,25,25,24
Sudbury Town,Canary Wharf,10,56,32,48,40
Sudbury Town,Euston,1,20,21,20,19
Sudbury Town,Green Park,17,30,31,31,32
Sudbury Town,Liverpool Street,12,58,59,54,48
Sudbury Town,Oxford Circus,5,45,46,46,46
Sudbury Town,Stratford,1,53,54,44,35
Sudbury Town,Warren Street,3,21,21,21,20
Sudbury Town,Waterloo,6,27,27,27,26
Sudbury Town,Westminster,5,19,19,19,19
Swiss Cottage,Bank and Monument,90,147,149,141,124
Swiss Cottage,Bond Street,233,52,53,65,78
Swiss Cottage,Canary Wharf,362,111,64,88,61
Swiss Cottage,Euston,2,42,43,47,49
Swiss Cottage,Green Park,184,63,64,72,78
Swiss Cottage,Liverpool Street,98,119,121,115,101
Swiss Cottage,Oxford Circus,45,96,98,120,144
Swiss Cottage,Stratford,30,106,108,81,54
Swiss Cottage,Warren Street,3,44,44,50,54
Swiss Cottage,Waterloo,121,55,56,57,55
Swiss Cottage,Westminster,136,39,40,41,40
Temple,Bank and Monument,33,16,16,22,28
Temple,Bond Street,2,5,5,6,6
Temple,Canary Wharf,7,11,6,9,6
Temple,Euston,2,4,4,4,4
Temple,Green Park,4,6,6,8,9
Temple,Liverpool Street,9,12,13,15,16
Temple,Oxford Circus,6,10,10,12,13
Temple,Stratford,3,10,11,7,4
Temple,Warren Street,0,4,4,5,5
Temple,Waterloo,3,6,6,9,13
Temple,Westminster,20,4,4,6,9
Theobalds Grove,Liverpool Street,81,171,171,163,145
Theobalds Grove,Stratford,0,158,158,144,122
Theydon Bois,Bank and Monument,55,36,37,37,37
Theydon Bois,Bond Street,16,12,12,11,11
Theydon Bois,Canary Wharf,33,29,17,30,32
Theydon Bois,Euston,2,10,10,10,9
Theydon Bois,Green Park,4,15,15,14,13
Theydon Bois,Liverpool Street,86,30,30,31,31
Theydon Bois,Oxford Circus,24,22,23,21,20
Theydon Bois,Stratford,74,28,29,33,40
Theydon Bois,Warren Street,1,10,11,10,9
Theydon Bois,Waterloo,15,13,14,13,13
Theydon Bois,Westminster,4,9,10,9,9
Tooting Bec,Bank and Monument,697,290,294,311,315
Tooting Bec,Bond Street,27,97,99,101,98
Tooting Bec,Canary Wharf,206,221,127,202,169
Tooting Bec,Euston,87,80,81,79,72
Tooting Bec,Green Park,173,120,122,130,134
Tooting Bec,Liverpool Street,52,234,238,243,237
Tooting Bec,Oxford Circus,310,180,183,188,184
Tooting Bec,Stratford,41,210,213,179,137
Tooting Bec,Warren Street,129,82,84,82,77
Tooting Bec,Waterloo,180,109,110,123,133
Tooting Bec,Westminster,26,76,78,83,87
Tooting Broadway,Bank and Monument,763,404,410,436,455
Tooting Broadway,Bond Street,49,135,137,142,143
Tooting Broadway,Canary Wharf,199,309,177,288,252
Tooting Broadway,Euston,128,112,113,111,106
Tooting Broadway,Green Park,205,167,169,182,193
Tooting Broadway,Liverpool Street,63,327,331,342,345
Tooting Broadway,Oxford Circus,376,251,255,264,268
Tooting Broadway,Stratford,94,293,297,255,207
Tooting Broadway,Warren Street,175,115,117,116,113
Tooting Broadway,Waterloo,238,151,153,171,190
Tooting Broadway,Westminster,31,106,108,117,124
Tottenham Court Road,Bank and Monument,190,75,76,79,71
Tottenham Court Road,Bond Street,26,27,27,41,55
Tottenham Court Road,Canary Wharf,20,54,31,38,21
Tottenham Court Road,Euston,22,22,22,31,38
Tottenham Court Road,Green Park,9,32,33,45,56
Tottenham Court Road,Liverpool Street,171,60,61,57,46
Tottenham Court Road,Oxford Circus,11,52,53,96,167
Tottenham Court Road,Stratford,89,51,52,33,16
Tottenham Court Road,Warren Street,11,23,24,38,57
Tottenham Court Road,Waterloo,66,29,29,36,40
Tottenham Court Road,Westminster,13,20,21,26,29
Tottenham Hale,Bank and Monument,29,370,375,380,365
Tottenham Hale,Bond Street,47,124,126,126,120
Tottenham Hale,Canary Wharf,22,283,162,249,200
Tottenham Hale,Euston,342,106,107,117,124
Tottenham Hale,Green Park,266,152,154,152,141
Tottenham Hale,Liverpool Street,6,303,307,321,321
Tottenham Hale,Oxford Circus,620,232,235,240,233
Tottenham Hale,Stratford,0,277,281,270,243
Tottenham Hale,Warren Street,402,108,109,117,120
Tottenham Hale,Waterloo,86,136,138,133,121
Tottenham Hale,Westminster,57,96,98,94,86
Totteridge & Whetstone,Bank and Monument,179,104,105,104,102
Totteridge & Whetstone,Bond Street,21,35,36,38,40
Totteridge & Whetstone,Canary Wharf,36,80,46,72,62
Totteridge & Whetstone,Euston,66,30,30,34,39
Totteridge & Whetstone,Green Park,30,43,44,45,47
Totteridge & Whetstone,Liverpool Street,19,85,86,86,85
Totteridge & Whetstone,Oxford Circus,65,66,67,71,76
Totteridge & Whetstone,Stratford,8,77,78,68,58
Totteridge & Whetstone,Warren Street,62,31,31,34,38
Totteridge & Whetstone,Waterloo,69,39,39,39,40
Totteridge & Whetstone,Westminster,11,27,28,28,28
Tower Gateway,Bank and Monument,0,204,222,231,254
Tower Gateway,Canary Wharf,128,158,97,166,166
Tower Gateway,Stratford,4,146,158,123,95
Tower Hill,Bank and Monument,75,401,407,799,1508
Tower Hill,Bond Street,84,116,117,105,77
Tower Hill,Canary Wharf,2,269,154,236,167
Tower Hill,Euston,35,97,98,88,65
Tower Hill,Green Park,103,142,144,131,98
Tower Hill,Liverpool Street,114,315,319,518,781
Tower Hill,Oxford Circus,127,217,220,204,158
Tower Hill,Stratford,54,256,259,214,143
Tower Hill,Warren Street,7,99,101,91,69
Tower Hill,Waterloo,82,132,134,147,139
Tower Hill,Westminster,395,92,94,93,79
Tufnell Park,Bank and Monument,192,119,120,119,111
Tufnell Park,Bond Street,19,41,42,48,53
Tufnell Park,Canary Wharf,35,90,51,72,52
Tufnell Park,Euston,130,36,36,51,74
Tufnell Park,Green Park,41,50,51,56,60
Tufnell Park,Liverpool Street,18,97,98,99,94
Tufnell Park,Oxford Circus,61,77,78,93,110
Tufnell Park,Stratford,9,86,87,68,48
Tufnell Park,Warren Street,111,36,37,49,65
Tufnell Park,Waterloo,109,44,45,46,45
Tufnell Park,Westminster,19,31,32,33,32
Turkey Street,Liverpool Street,148,235,235,226,205
Turkey Street,Stratford,2,216,216,198,170
Turnham Green,Bank and Monument,135,153,156,141,117
Turnham Green,Bond Street,16,53,54,55,52
Turnham Green,Canary Wharf,111,118,68,95,68
Turnham Green,Euston,22,44,44,43,38
Turnham Green,Green Park,82,65,66,71,72
Turnham Green,Liverpool Street,25,124,126,112,90
Turnham Green,Oxford Circus,60,98,100,102,98
Turnham Green,Stratford,9,112,113,85,57
Turnham Green,Warren Street,22,45,46,45,41
Turnham Green,Waterloo,21,58,59,58,54
Turnham Green,Westminster,56,41,42,43,41
Turnpike Lane,Bank and Monument,155,275,279,281,277
Turnpike Lane,Bond Street,49,93,95,98,99
Turnpike Lane,Canary Wharf,75,211,121,187,155
Turnpike Lane,Euston,80,79,80,92,105
Turnpike Lane,Green Park,131,114,115,117,116
Turnpike Lane,Liverpool Street,88,225,228,233,232
Turnpike Lane,Oxford Circus,238,174,176,186,194
Turnpike Lane,Stratford,38,206,209,200,184
Turnpike Lane,Warren Street,152,81,82,91,101
Turnpike Lane,Waterloo,71,102,103,103,99
Turnpike Lane,Westminster,36,72,73,73,71
Upminster,Bank and Monument,10,34,34,35,35
Upminster,Bond Street,0,11,11,11,10
Upminster,Canary Wharf,0,27,16,29,31
Upminster,Euston,1,9,10,9,9
Upminster,Green Park,0,14,14,13,12
Upminster,Liverpool Street,0,28,28,29,29
Upminster,Oxford Circus,16,21,21,20,19
Upminster,Stratford,0,26,27,31,36
Upminster,Warren Street,1,10,10,9,9
Upminster,Waterloo,0,12,13,12,12
Upminster,Westminster,16,9,9,9,8
Upminster Bridge,Bank and Monument,19,42,43,43,42
Upminster Bridge,Bond Street,7,14,14,13,12
Upminster Bridge,Canary Wharf,21,33,19,36,37
Upminster Bridge,Euston,1,12,12,11,10
Upminster Bridge,Green Park,4,17,17,16,15
Upminster Bridge,Liverpool Street,20,34,35,35,35
Upminster Bridge,Oxford Circus,7,26,26,25,22
Upminster Bridge,Stratford,14,32,33,37,42
Upminster Bridge,Warren Street,0,12,12,11,10
Upminster Bridge,Waterloo,6,15,16,15,14
Upminster Bridge,Westminster,11,11,11,11,10
Upney,Bank and Monument,35,79,80,82,81
Upney,Bond Street,15,26,26,24,21
Upney,Canary Wharf,45,63,36,72,80
Upney,Euston,4,22,22,21,18
Upney,Green Park,15,32,32,30,26
Upney,Liverpool Street,45,64,65,68,69
Upney,Oxford Circus,23,48,49,45,39
Upney,Stratford,62,62,63,80,101
Upney,Warren Street,1,22,23,21,18
Upney,Waterloo,21,29,29,28,26
Upney,Westminster,14,20,21,19,17
Upper Holloway,Stratford,3,83,83,70,52
Upton Park,Bank and Monument,131,251,254,271,276
Upton Park,Bond Street,65,82,83,75,63
Upton Park,Canary Wharf,273,203,117,257,315
Upton Park,Euston,9,69,70,65,57
Upton Park,Green Park,42,100,102,93,78
Upton Park,Liverpool Street,195,205,208,229,242
Upton Park,Oxford Circus,96,152,154,142,121
Upton Park,Stratford,164,204,208,325,524
Upton Park,Warren Street,7,70,71,65,56
Upton Park,Waterloo,108,91,92,89,81
Upton Park,Westminster,49,64,65,61,54
Uxbridge,Bank and Monument,9,115,117,112,106
Uxbridge,Bond Street,30,39,40,40,41
Uxbridge,Canary Wharf,52,90,51,82,72
Uxbridge,Euston,0,33,33,33,33
Uxbridge,Green Park,27,48,49,49,49
Uxbridge,Liverpool Street,90,94,95,91,87
Uxbridge,Oxford Circus,32,73,74,75,76
Uxbridge,Stratford,11,86,88,79,70
Uxbridge,Warren Street,0,33,34,34,34
Uxbridge,Waterloo,22,43,43,42,41
Uxbridge,Westminster,42,30,31,30,30
Vauxhall,Bank and Monument,158,670,679,686,651
Vauxhall,Bond Street,154,233,236,281,324
Vauxhall,Canary Wharf,220,505,289,413,300
Vauxhall,Euston,789,190,192,202,202
Vauxhall,Green Park,1409,292,296,397,529
